Author,Title,ID
,"How to Train Your Dragon (How to Train Your Dragon, #1)",352262
,Endless Love,61008
,"Something Borrowed (Darcy & Rachel, #1)",42156
,"I Love You, Beth Cooper",378579
,Bartleby the Scrivener,114230
,Youth in Revolt: The Journals of Nick Twisp,10050
,"Neuromancer (Sprawl, #1)",22328
,Extremely Loud and Incredibly Close,4588
,The Age of Innocence,53835
,Factotum,497199
,"Doctor No (James Bond, #6)",3757
,The Merchant of Venice,24128
,The Call of the Wild,1852
,Before I Go to Sleep,9736930
,A Room with a View,253641
,The Velveteen Rabbit,144974
,Pictures of Hollis Woods,828084
,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",16328
,Moby-Dick,2390
,"Fruits Basket, Vol. 1",271199
,Beaches,1219954
,"The Secret (The Secret, #1)",52529
,Pay It Forward,215631
,"A Princess of Mars (Barsoom, #1)",40395
,Terms of Endearment,63461
,The House of Mirth,17728
,A Scanner Darkly,14817
,The Juror,1589721
,"The Soloist: A Lost Dream, an Unlikely Friendship, and the Redemptive Power of Music",3272968
,Donnie Brasco,308251
,From Here to Eternity,116114
,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,10412
,Hoot,13083
,"Patriot Games (Jack Ryan, #1; Jack Ryan Universe, #2)",32682
,"Memnoch the Devil (The Vampire Chronicles, #5)",31338
,A Beautiful Mind,13912
,Bless the Beasts and Children,303801
,Doctor Zhivago,130440
,On the Beach,38180
,Red Riding Hood,9349915
,"Goldfinger (James Bond, #7)",3759
,Harriet the Spy (Harriet the Spy #1),232576
,"Blood Canticle (The Vampire Chronicles, #10)",31331
,The Last Picture Show,50051
,Plain Truth,14864
,A Good Year,40190
,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",5452
,Vampire Blood Trilogy,164726
,The Sand Pebbles,815854
,A Bend in the Road,3463
,All Quiet on the Western Front,355697
,"Hamlet: Screenplay, Introduction And Film Diary",117251
,"Freckles (Limberlost, #1)",381608
,Eugene Onegin,27822
,Desperation,10584
,Tell No One,43933
,"Tinker, Tailor, Soldier, Spy",18989
,"The Ruby in the Smoke (Sally Lockhart, #1)",114982
,"Lasher (Lives of the Mayfair Witches, #2)",31340
,The Strange Case of Dr. Jekyll and Mr. Hyde,51496
,The Hellbound Heart,52635
,The Executioner's Song,12468
,"Point of Impact (Bob Lee Swagger, #1)",127712
,"Moonraker (James Bond, #3)",3750
,Brick Lane,18723
,War and Peace,656
,"Raise the Titanic! (Dirk Pitt, #4)",41706
,Of Love and Shadows,16532
,The Milagro Beanfield War,39242
,Fatherland,56842
,Bury My Heart at Wounded Knee: An Indian History of the American West,76401
,"Thunderball (James Bond, #9)",177194
,"L.A. Confidential (L.A. Quartet, #3)",57727
,"Blackwood Farm (The Vampire Chronicles, #9)",31337
,A Home at the End of the World,386242
,"The Lord of the Rings (The Lord of the Rings, #1-3)",33
,The Flanders Panel,11031
,The Woman in Black,37034
